oncul,sonuc,support,confidence,lift,birlikte_gorulme
BASINÇLI YAĞ HATTI ARIZASI,KLİMA SİSTEMİ ARIZALARI,0.2776,0.9384,1.084,1020
KLİMA SİSTEMİ ARIZALARI,BASINÇLI YAĞ HATTI ARIZASI,0.2776,0.3207,1.084,1020
MOTOR ARIZALARI,YAKIT ve ENJEKSİYON ARIZALARI,0.6161,0.6886,1.083,2264
YAKIT ve ENJEKSİYON ARIZALARI,MOTOR ARIZALARI,0.6161,0.9692,1.083,2264
KLİMA SİSTEMİ ARIZALARI,OTOMATİK ŞANZIMAN ARIZALARI,0.6966,0.8048,1.083,2560
OTOMATİK ŞANZIMAN ARIZALARI,KLİMA SİSTEMİ ARIZALARI,0.6966,0.9377,1.083,2560
BASINÇLI HAVA DONANIMI ARIZALARI,SOĞUTMA SİSTEMİ ARIZASI,0.5056,0.9774,1.083,1858
SOĞUTMA SİSTEMİ ARIZASI,BASINÇLI HAVA DONANIMI ARIZALARI,0.5056,0.5603,1.083,1858
MOTOR ARIZALARI,BASINÇLI HAVA HATTI ARIZASI,0.3083,0.3446,1.082,1133
BASINÇLI HAVA HATTI ARIZASI,MOTOR ARIZALARI,0.3083,0.9684,1.082,1133
KAYIŞ KASNAK ARIZALARI,SOĞUTMA SİSTEMİ ARIZASI,0.4659,0.9761,1.082,1712
SOĞUTMA SİSTEMİ ARIZASI,KAYIŞ KASNAK ARIZALARI,0.4659,0.5163,1.082,1712
KLİMA SİSTEMİ ARIZALARI,BASINÇLI MOTOR YAĞI SİSTEMİ,0.3312,0.3826,1.081,1217
BASINÇLI MOTOR YAĞI SİSTEMİ,KLİMA SİSTEMİ ARIZALARI,0.3312,0.9354,1.081,1217
OTOMATİK ŞANZIMAN ARIZALARI,Destek,0.6305,0.8487,1.081,2317
Destek,OTOMATİK ŞANZIMAN ARIZALARI,0.6305,0.8031,1.081,2317
BASINÇLI YAĞ HATTI ARIZASI,KAPI ARIZALARI,0.2833,0.9577,1.081,1041
KAPI ARIZALARI,BASINÇLI YAĞ HATTI ARIZASI,0.2833,0.3198,1.081,1041
BASINÇLI YAĞ HATTI ARIZASI,FREN ŞİKAYETLERİ,0.2716,0.9181,1.08,998
FREN ŞİKAYETLERİ,BASINÇLI YAĞ HATTI ARIZASI,0.2716,0.3196,1.08,998
MOTOR ARIZALARI,SÜSPANSİYON SİSTEMİ ARIZALARI,0.6724,0.7515,1.08,2471
SÜSPANSİYON SİSTEMİ ARIZALARI,MOTOR ARIZALARI,0.6724,0.9664,1.08,2471
MOTOR ARIZALARI,BASINÇLI YAĞ HATTI ARIZASI,0.2854,0.319,1.079,1049
BASINÇLI YAĞ HATTI ARIZASI,MOTOR ARIZALARI,0.2854,0.965,1.079,1049
ISITMA SİSTEMİ,SÜSPANSİYON SİSTEMİ ARIZALARI,0.5556,0.751,1.079,2042
SÜSPANSİYON SİSTEMİ ARIZALARI,ISITMA SİSTEMİ,0.5556,0.7986,1.079,2042
