ARAC_SID,toplam_denetim,olumsuz_denetim,olumlu_denetim,ilk_denetim_tar,son_denetim_tar,OLUMSUZ_ORAN
2413,342,38,304,2024-02-10,2025-12-15,0.111
2414,374,62,312,2024-03-04,2025-12-31,0.166
2415,506,66,440,2024-01-31,2025-12-31,0.13
2416,463,79,384,2024-01-31,2025-12-29,0.171
2417,412,48,364,2024-01-02,2025-12-31,0.117
2418,348,38,310,2024-02-06,2025-12-23,0.109
2419,480,56,424,2024-01-26,2025-12-26,0.117
2420,394,94,300,2024-01-01,2025-12-29,0.239
2421,495,67,428,2024-01-25,2025-12-31,0.135
2422,220,28,192,2024-01-05,2025-12-29,0.127
2423,546,64,482,2024-02-08,2025-12-30,0.117
2424,128,11,117,2024-02-17,2025-12-29,0.086
2425,548,79,469,2024-01-20,2025-12-15,0.144
2426,417,35,382,2024-01-21,2025-12-31,0.084
2427,1291,177,1114,2024-01-01,2025-12-31,0.137
2428,1419,289,1130,2024-01-01,2025-12-31,0.204
2432,1112,509,603,2024-01-02,2025-12-26,0.458
2433,965,333,632,2024-01-03,2025-12-30,0.345
2434,964,399,565,2024-01-03,2025-12-31,0.414
2435,1015,270,745,2024-01-02,2025-12-31,0.266
2436,991,218,773,2024-01-01,2025-12-30,0.22
2437,911,216,695,2024-01-03,2025-12-29,0.237
2438,570,55,515,2024-01-02,2025-11-20,0.096
2439,923,162,761,2024-01-03,2025-12-29,0.176
2440,1093,203,890,2024-01-05,2025-12-31,0.186
2441,975,369,606,2024-01-05,2025-12-31,0.378
2442,638,129,509,2024-01-15,2025-12-30,0.202
2443,633,32,601,2024-01-25,2025-12-17,0.051
2444,751,28,723,2024-01-01,2025-12-30,0.037
2445,567,32,535,2024-01-01,2025-12-30,0.056
2446,468,4,464,2024-01-02,2025-01-16,0.009
2449,1352,606,746,2024-01-04,2025-12-31,0.448
2450,754,234,520,2024-01-01,2025-12-30,0.31
2451,1531,453,1078,2024-01-01,2025-12-31,0.296
