SIDARAC,marka,arac_yasi,yakitturu,garaj_ilce,RF_ARIZA_SKORU,RF_RISK_ETIKETI,RF_ARIZA_OLASILIGI,RİSK_SEVİYESİ,HEDEF_ARIZA_30GUN
84.0,BMC,8.0,MOTORIN,Küçükçekmece,73.6,🟠 Yüksek,0.7356551821617181,🟠 ORTA-YÜKSEK,1
85.0,BMC,8.0,MOTORIN,Küçükçekmece,86.7,🔴 Kritik,0.8674027489080607,🟠 ORTA-YÜKSEK,1
86.0,BMC,8.0,MOTORIN,Küçükçekmece,96.7,🔴 Kritik,0.9670019465294445,🔴 YÜKSEK RİSK,1
87.0,BMC,8.0,MOTORIN,Küçükçekmece,96.4,🔴 Kritik,0.9643409515568697,🔴 YÜKSEK RİSK,1
89.0,BMC,8.0,MOTORIN,Küçükçekmece,97.5,🔴 Kritik,0.9754949603646272,🔴 YÜKSEK RİSK,1
90.0,BMC,8.0,MOTORIN,Küçükçekmece,98.3,🔴 Kritik,0.9832519561026767,🔴 YÜKSEK RİSK,1
91.0,BMC,8.0,MOTORIN,Küçükçekmece,98.7,🔴 Kritik,0.987416766053078,🔴 YÜKSEK RİSK,1
92.0,BMC,8.0,MOTORIN,Küçükçekmece,89.4,🔴 Kritik,0.8937861293642319,🟠 ORTA-YÜKSEK,1
93.0,BMC,8.0,MOTORIN,Küçükçekmece,95.5,🔴 Kritik,0.9553694173349031,🟠 ORTA-YÜKSEK,1
94.0,BMC,8.0,MOTORIN,Küçükçekmece,85.5,🔴 Kritik,0.8551801068484847,🔴 YÜKSEK RİSK,1
95.0,BMC,8.0,MOTORIN,Küçükçekmece,91.0,🔴 Kritik,0.9098416623375172,🟠 ORTA-YÜKSEK,1
96.0,BMC,8.0,MOTORIN,Küçükçekmece,97.2,🔴 Kritik,0.9715637588347497,🔴 YÜKSEK RİSK,1
97.0,BMC,8.0,MOTORIN,Küçükçekmece,98.9,🔴 Kritik,0.9885609153802842,🔴 YÜKSEK RİSK,1
98.0,BMC,8.0,MOTORIN,Küçükçekmece,98.7,🔴 Kritik,0.9865151142064515,🔴 YÜKSEK RİSK,1
99.0,BMC,8.0,MOTORIN,Küçükçekmece,94.4,🔴 Kritik,0.9441193345459511,🔴 YÜKSEK RİSK,1
100.0,BMC,8.0,MOTORIN,Küçükçekmece,97.1,🔴 Kritik,0.9708547265383729,🔴 YÜKSEK RİSK,1
101.0,OTOKAR,12.0,MOTORIN,Sancaktepe,80.5,🔴 Kritik,0.8051085042940472,🔴 YÜKSEK RİSK,1
102.0,OTOKAR,12.0,MOTORIN,Sancaktepe,70.6,🟠 Yüksek,0.7062759058038395,🔴 YÜKSEK RİSK,1
103.0,OTOKAR,12.0,MOTORIN,Sancaktepe,54.6,🟠 Yüksek,0.5459611636372251,🔴 YÜKSEK RİSK,0
104.0,OTOKAR,12.0,MOTORIN,Sancaktepe,87.9,🔴 Kritik,0.8792529844492185,🔴 YÜKSEK RİSK,1
105.0,OTOKAR,12.0,MOTORIN,Sancaktepe,87.5,🔴 Kritik,0.8754449843219888,🔴 YÜKSEK RİSK,1
106.0,OTOKAR,12.0,MOTORIN,Sancaktepe,65.2,🟠 Yüksek,0.6518143343868894,🟠 ORTA-YÜKSEK,1
107.0,OTOKAR,12.0,MOTORIN,Kartal,81.2,🔴 Kritik,0.8120047195531873,🔴 YÜKSEK RİSK,1
108.0,OTOKAR,12.0,MOTORIN,Kartal,58.8,🟠 Yüksek,0.5880204594156127,🟠 ORTA-YÜKSEK,1
109.0,OTOKAR,12.0,MOTORIN,Kartal,95.2,🔴 Kritik,0.9516068830192359,🔴 YÜKSEK RİSK,1
110.0,OTOKAR,12.0,MOTORIN,Kartal,67.0,🟠 Yüksek,0.6697365915520369,🔴 YÜKSEK RİSK,0
111.0,OTOKAR,12.0,MOTORIN,Kartal,77.9,🔴 Kritik,0.7790967874440285,🔴 YÜKSEK RİSK,1
112.0,OTOKAR,12.0,MOTORIN,Kartal,33.4,🟡 Orta,0.334109840753112,🟠 ORTA-YÜKSEK,0
113.0,OTOKAR,12.0,MOTORIN,Kartal,57.0,🟠 Yüksek,0.5702308263811818,🟠 ORTA-YÜKSEK,1
114.0,OTOKAR,12.0,MOTORIN,Kartal,82.1,🔴 Kritik,0.8209551006745355,🔴 YÜKSEK RİSK,1
115.0,OTOKAR,12.0,MOTORIN,Kartal,65.1,🟠 Yüksek,0.6508928312450049,🔴 YÜKSEK RİSK,0
116.0,OTOKAR,12.0,MOTORIN,Kartal,79.7,🔴 Kritik,0.7967734299562429,🔴 YÜKSEK RİSK,1
117.0,OTOKAR,12.0,MOTORIN,Kartal,79.2,🔴 Kritik,0.7918654930375305,🔴 YÜKSEK RİSK,1
118.0,OTOKAR,12.0,MOTORIN,Kartal,70.3,🟠 Yüksek,0.7032233609166475,🟠 ORTA-YÜKSEK,1
119.0,OTOKAR,12.0,MOTORIN,Kartal,83.3,🔴 Kritik,0.8334007674079444,🔴 YÜKSEK RİSK,0
120.0,OTOKAR,12.0,MOTORIN,Kartal,67.6,🟠 Yüksek,0.6757911869208748,🟠 ORTA-YÜKSEK,1
121.0,OTOKAR,12.0,MOTORIN,Kartal,43.8,🟡 Orta,0.43827529501296913,🔴 YÜKSEK RİSK,0
122.0,OTOKAR,12.0,MOTORIN,Kartal,93.1,🔴 Kritik,0.9309647171307138,🔴 YÜKSEK RİSK,1
123.0,OTOKAR,12.0,MOTORIN,Kartal,85.3,🔴 Kritik,0.852795391154319,🔴 YÜKSEK RİSK,1
124.0,OTOKAR,12.0,MOTORIN,Kartal,69.2,🟠 Yüksek,0.6918731687187852,🔴 YÜKSEK RİSK,1
125.0,OTOKAR,12.0,MOTORIN,Kartal,70.5,🟠 Yüksek,0.7047130333554599,🔴 YÜKSEK RİSK,1
126.0,OTOKAR,12.0,MOTORIN,Kartal,75.2,🔴 Kritik,0.752427780462647,🔴 YÜKSEK RİSK,1
127.0,OTOKAR,12.0,MOTORIN,Kartal,58.3,🟠 Yüksek,0.5833700302171991,🟠 ORTA-YÜKSEK,1
128.0,OTOKAR,12.0,MOTORIN,Kartal,85.8,🔴 Kritik,0.8577958713490021,🔴 YÜKSEK RİSK,1
129.0,OTOKAR,12.0,MOTORIN,Kartal,43.9,🟡 Orta,0.4394933412873725,🟠 ORTA-YÜKSEK,0
130.0,OTOKAR,12.0,MOTORIN,Kartal,48.8,🟡 Orta,0.48758980906983945,🟠 ORTA-YÜKSEK,1
131.0,OTOKAR,12.0,MOTORIN,Kartal,85.6,🔴 Kritik,0.8562650261125601,🔴 YÜKSEK RİSK,1
132.0,OTOKAR,12.0,MOTORIN,Kartal,92.7,🔴 Kritik,0.9271831814533398,🔴 YÜKSEK RİSK,1
133.0,OTOKAR,12.0,MOTORIN,Kartal,76.6,🔴 Kritik,0.7662210978324905,🟠 ORTA-YÜKSEK,1
134.0,OTOKAR,12.0,MOTORIN,Kartal,96.2,🔴 Kritik,0.9620233759990101,🔴 YÜKSEK RİSK,1
135.0,OTOKAR,12.0,MOTORIN,Kartal,86.3,🔴 Kritik,0.8629181845106566,🔴 YÜKSEK RİSK,1
142.0,MERCEDES,10.0,MOTORIN,Kadıköy,99.3,🔴 Kritik,0.9931045851756355,🔴 YÜKSEK RİSK,1
143.0,MERCEDES,10.0,MOTORIN,Kadıköy,99.7,🔴 Kritik,0.9965023335579875,🔴 YÜKSEK RİSK,1
144.0,MERCEDES,10.0,MOTORIN,Kadıköy,99.0,🔴 Kritik,0.990230893700774,🔴 YÜKSEK RİSK,1
145.0,MERCEDES,10.0,MOTORIN,Kadıköy,98.2,🔴 Kritik,0.9819988401193008,🔴 YÜKSEK RİSK,1
146.0,MERCEDES,10.0,MOTORIN,Kadıköy,99.8,🔴 Kritik,0.9979394739737977,🔴 YÜKSEK RİSK,1
147.0,MERCEDES,10.0,MOTORIN,Kadıköy,99.0,🔴 Kritik,0.9903230005304584,🔴 YÜKSEK RİSK,1
148.0,MERCEDES,10.0,MOTORIN,Kadıköy,99.7,🔴 Kritik,0.9974278028583228,🔴 YÜKSEK RİSK,1
149.0,MERCEDES,10.0,MOTORIN,Kadıköy,98.7,🔴 Kritik,0.9869558073959814,🔴 YÜKSEK RİSK,1
150.0,MERCEDES,10.0,MOTORIN,Kadıköy,96.8,🔴 Kritik,0.9678655789517343,🔴 YÜKSEK RİSK,1
151.0,MERCEDES,10.0,MOTORIN,Kadıköy,98.5,🔴 Kritik,0.9852236706411959,🔴 YÜKSEK RİSK,1
152.0,MERCEDES,10.0,MOTORIN,Kadıköy,94.5,🔴 Kritik,0.9451611697643563,🔴 YÜKSEK RİSK,1
153.0,BMC,9.0,MOTORIN,Küçükçekmece,96.6,🔴 Kritik,0.9655063315846975,🔴 YÜKSEK RİSK,1
154.0,BMC,9.0,MOTORIN,Küçükçekmece,94.4,🔴 Kritik,0.943725040724936,🔴 YÜKSEK RİSK,1
